ORDER_NUMBER,POSITION_NUMBER,NOMENCLATURE,AMOUNT,COST,SUM,VAT
546,1,Мелкий ремонт,1,500,500,76.27
546,2,Б/питания RP CG-450W {450W /LN/24pin/S-A} RTL,1,2050,2050,312.71
548,1,Профилактика принтера А4 (900),1,900,900,137.29
549,1,Профилактика дополнительной опции,1,300,300,45.76
549,2,411844 Блок фотобарабана Ricoh1515 /DSm415 DMU25,1,8950,8950,1365.25
549,3,Профилактика МФУ А4 (1200),1,1200,1200,183.05
550,1,Мелкий ремонт,1,500,500,76.27
550,2,Заправка картриджа 500,1,500,500,76.27
552,1,Ремонт монитора (1500),1,1500,1500,228.81
553,1,Ремонт монитора (1500),1,1500,1500,228.81
554,1,Ремонт монитора (1500),1,1500,1500,228.81
556,1,Настройка системы,1,900,900,137.29
557,1,Профилактика принтера А4 (900),1,900,900,137.29
557,2,Термопленка HP 1200 (1200),1,1350,1350,205.93
558,1,Профилактика  ноутбука (чистка),1,1250,1250,190.68
559,1,Замена чипа (Н002098) nVidia G86-770-A2,1,7000,7000,1067.8
562,1,Замена матрицы (Н009547) LM200WD3(TL)(F1),1,10450,10450,1594.07
564,1,Диагностика,1,400,400,61.02
563,1,Переустановка Windows,1,1500,1500,228.81
563,2,Восстановление данных 200р за 1Gb,12,200,2400,366.1
565,1,Профилактика  ноутбука (чистка),1,1250,1250,190.68
565,2,Восстановление данных 200р за 1Gb,1,200,200,30.51
566,1,Замена разъема (Н011947) Audio Dock Connector 6 pi,2,500,1000,152.54
566,2,Ремонт ноутбука,1,1250,1250,190.68
568,1,JC97-01486A Площадка отделения(торм.) в сб ML-1210,1,450,450,68.64
568,2,Профилактика принтера А4 (900),1,900,900,137.29
569,1,Программное обеспечение KL1161RBBFS Kaspersky Anti,1,1050,1050,160.17
569,2,Установка антивирусной программы,1,400,400,61.02
569,3,Ремонт ноутбука,1,1900,1900,289.83
570,1,Профилактика принтера скорость более 25 ст/мин,1,1200,1200,183.05
570,2,CE988-67902/RM1-8396 Термоузел (печь) в сборе HP L,1,15550,15550,2372.03
570,3,RM1-0037 Ролик под. бумаги НР 4200/4300(лоток),2,450,900,137.29
571,1,Мелкий ремонт,1,500,500,76.27
573,1,"Удаление вирусов, снятие банера",1,1250,1250,190.68
574,1,Диагностика,1,400,400,61.02
575,1,Диагностика,1,400,400,61.02
576,1,Мелкий ремонт,1,500,500,76.27
576,2,Заправка картриджа 500,1,500,500,76.27
577,1,1237014/1091668 Ролик предний Epson LQ630,1,350,350,53.39
577,2,1091667 Ролик EPSON LQ630,1,300,300,45.76
578,1,Ремонт материнской платы (2000),1,2000,2000,305.08
578,2,Б/питания RP CG-450W {450W /LN/24pin/S-A} RTL,1,1780,1780,271.53
579,1,Мелкий ремонт,1,500,500,76.27
580,1,Замена матрицы (371547) 15.6 Glare LP156WHB (TL)(A,1,4600,4600,701.69
581,1,Ремонт монитора (2000),1,2000,2000,305.08
583,1,Замена чипа (101084) ATI AMD Radeon IGP RS880M [21,1,6900,6900,1052.54
585,1,Б/питания RP CG-400W 400W/12cmFAN/PFC/24 Pin/S-ATA,1,1590,1590,242.54
585,2,Замена блока питания,1,400,400,61.02
589,1,Диагностика,1,400,400,61.02
590,1,Ремонт монитора,1,1850,1850,282.2
591,1,Профилактика МФУ А4 (1200),1,1200,1200,183.05
591,2,Заправка картриджа 500,1,500,500,76.27
591,3,Термопленка HP 1200 (1200),1,1350,1350,205.93
592,1,Переустановка Windows,1,1500,1500,228.81
594,1,Диагностика,1,400,400,61.02
595,1,Диагностика,1,400,400,61.02
596,1,Sven SV1250 (12V 5Ah)  батарея аккумуляторная,1,950,950,144.92
596,2,Замена аккумулятора,1,250,250,38.14
602,1,Батарея Sven SV 1272 (12V 7.2Ah) батарея аккумулят,1,990,990,151.02
602,2,Замена аккумулятора,1,250,250,38.14
605,1,Профилактика МФУ А4 (1200),1,1200,1200,183.05
605,2,Заправка картриджа 500,1,500,500,76.27
606,1,Термопленка HP 1200 (1200),1,1350,1350,205.93
606,2,RL1-0540/RL1-0542  Ролик под. бумаги LJ 1320,1,550,550,83.9
606,3,RM1-1298 Отделительная площадка HP 1320/1160(ориг),1,600,600,91.53
606,4,Резиновый вал OEM HP  LJ 1160/1320,1,950,950,144.92
606,5,RU5-0307 Шестерня привода HP 1320/1160 (oem),1,350,350,53.39
606,6,Профилактика принтера А4 (900),1,900,900,137.29
606,7,Профилактика дополнительной опции,1,300,300,45.76
606,8,Заправка картриджа 750,1,750,750,114.41
606,9,Свч барабан HP 1160/1320 (Fuji),1,650,650,99.15
608,1,Профилактика МФУ А4 (1200),1,1200,1200,183.05
609,1,Профилактика МФУ А4 (1200),1,1200,1200,183.05
611,1,Профилактика принтера А4 (900),1,900,900,137.29
612,1,Ремонт USB порта,1,500,500,76.27
